Character,Pīnyīn,English,eng_tag,shared_by,ch_tag
得大慈悲,dé dà cíbēi,attain great kindness and compassion,great_compassion_repentance,,大悲懺
得滅罪,dé mièzuì,attain the eradication of offenses,great_compassion_repentance,,大悲懺
除怖畏,chú bùwèi,dispel fear and dread,great_compassion_repentance,,大悲懺
隨心所欲,suíxīn suǒyù,in accordance with all heart's desires,great_compassion_repentance,,大悲懺
除滅障礙,chúmiè zhàngài,eradicate and dissolve obstacles,great_compassion_repentance,,大悲懺
成就諸善,chéngjiù zhūshàn,accomplish all forms of goodness,great_compassion_repentance,,大悲懺
大神通,dà shéntōng,great spiritual powers; major psychic penetrations,great_compassion_repentance,,大悲懺
無能勝,wúnéngshèng,invincible; unable to be surpassed,great_compassion_repentance,,大悲懺
大明咒,dàmíngzhòu,great brightening mantra,great_compassion_repentance,,大悲懺
無上咒,wúshàngzhòu,unsurpassed mantra,great_compassion_repentance,,大悲懺
無等等咒,wúděngděng zhòu,unequaled mantra,great_compassion_repentance,,大悲懺
佛眼證,fóyǎn zhèng,certified by the Buddha eye,great_compassion_repentance,,大悲懺
大悲功德,dàbēi gōngdé,merits and virtues of great compassion,great_compassion_repentance,,大悲懺
阿彌陀,ēmítuó,Amitabha (phonetic/abbreviated),great_compassion_repentance,,大悲懺
極樂國,jílèguó,Land of Ultimate Bliss (Sukhavati),great_compassion_repentance,,大悲懺
西方聖眾,xīfāng shèngzhòng,holy assembly of the Western Realm,great_compassion_repentance,,大悲懺
得見佛,dé jiàn fó,attain the sighting of the Buddha,great_compassion_repentance,,大悲懺
聞妙法,wén miàofǎ,hear the wonderful Dharma,great_compassion_repentance,,大悲懺
成佛道,chéng fódào,accomplish the Buddha Way,great_compassion_repentance,,大悲懺
普皆迴向,pǔjiē huíxiàng,universally dedicate/transfer all merit,great_compassion_repentance,,大悲懺
願生西方,yuànshēng xīfāng,vow to be reborn in the West,great_compassion_repentance,,大悲懺
華開見,huākāi jiàn,flowers bloom to reveal/see,great_compassion_repentance,,大悲懺
同生極樂,tóngshēng jílè,together reborn in ultimate bliss,great_compassion_repentance,,大悲懺
顯正,xiǎnzhèng,manifest the proper; reveal the true nature,great_compassion_repentance,,大悲懺
作證,zuòzhèng,bear witness; act as certification,great_compassion_repentance,,大悲懺
加持,jiāchí,bless; empower; bestow spiritual protection,great_compassion_repentance,,大悲懺
神力,shénlì,spiritual power; psychic/awesome might,great_compassion_repentance,,大悲懺
發露,fālòu,disclose openly; lay bare one's faults,great_compassion_repentance,,大悲懺
隨喜,suíxǐ,rejoice sympathetically; joyfully comply,great_compassion_repentance,,大悲懺
常住三寶,chángzhù sānbǎo,eternally abiding Triple Gem,great_compassion_repentance,,大悲懺
廣大圓滿,guǎngdà yuánmǎn,vastly extensive and perfectly fulfilled,great_compassion_repentance,,大悲懺
千手千眼,qiānshǒu qiānyǎn,thousand hands and thousand eyes,great_compassion_repentance,,大悲懺
大悲神咒,dàbēi shénzhòu,Great Compassion Spiritual Mantra,great_compassion_repentance,,大悲懺
大悲心咒,dàbēixīn zhòu,Great Compassion Mind Mantra,great_compassion_repentance,,大悲懺
當願眾生,dāngyuàn zhòngshēng,may sentient beings reflect/vow that,great_compassion_repentance,,大悲懺
體解大道,tǐjiě dàdào,deeply understand the Great Way,great_compassion_repentance,,大悲懺
發無上心,fā wúshàng xīn,bring forth the supreme mind (Bodhicitta),great_compassion_repentance,,大悲懺
深入經藏,shēnrù jīngzàng,deeply enter the treasury of scriptures,great_compassion_repentance,,大悲懺
統理大眾,tǒnglǐ dàzhòng,guide and lead the great assembly,great_compassion_repentance,,大悲懺
願生西方淨土,yuànshēng xīfāng jìngtǔ,vow to be reborn in the Western Pure Land,great_compassion_repentance,,大悲懺
